Server_0E	Server_0	Server_0B	Server_03	Server_0D	
3.776	4.000	3.409	3.987	3.533	
3.899	4.000	3.409	3.987	3.533	
3.960	4.000	3.409	3.987	3.533	
3.991	4.000	3.409	3.987	3.533	
4.006	4.000	3.409	3.987	3.533	
4.014	4.000	3.409	3.987	3.533	
4.017	4.000	3.409	3.987	3.533	
4.019	4.000	3.409	3.987	3.533	
4.020	4.000	3.409	3.987	3.533	
3.776	4.000	3.409	3.987	3.533	
3.899	4.000	3.409	3.987	3.533	
3.960	4.000	3.409	3.987	3.533	
3.991	4.000	3.409	3.987	3.533	
4.006	4.000	3.409	3.987	3.533	
4.014	4.000	3.409	3.987	3.533	
4.017	4.000	3.409	3.987	3.533	
3.774	4.000	3.409	3.987	3.533	
3.898	4.000	3.409	3.987	3.533	
3.960	4.000	3.409	3.987	3.533	
3.960	3.766	3.409	3.987	3.533	
3.960	3.766	3.409	3.759	3.533	
3.960	3.766	3.409	4.135	3.533	
3.960	3.766	3.409	4.078	3.533	
3.960	3.766	3.409	4.050	3.533	
3.960	3.766	3.409	3.791	3.533	
3.960	3.766	3.409	3.906	3.533	
3.746	3.766	3.409	3.906	3.533	
3.746	3.766	3.409	3.719	3.533	
3.746	3.766	3.409	3.870	3.533	
3.746	3.766	3.409	3.946	3.533	
3.746	3.766	3.409	3.739	3.533	
3.746	3.649	3.409	3.739	3.533	
3.639	3.649	3.409	3.739	3.533	
3.639	3.649	3.409	3.635	3.533	
3.639	3.649	3.409	3.828	3.533	
3.639	3.649	3.409	3.925	3.533	
3.639	3.649	3.409	3.728	3.533	
3.639	3.649	3.409	3.875	3.533	
3.639	3.649	3.409	3.703	3.533	
3.639	3.649	3.409	3.617	3.533	
3.639	3.649	3.409	3.819	3.533	
3.639	3.649	3.409	3.675	3.533	
3.639	3.649	3.409	3.604	3.533	
3.639	3.649	3.409	3.812	3.533	
3.639	3.649	3.409	3.672	3.533	
3.639	3.649	3.409	3.602	3.533	
3.639	3.590	3.409	3.602	3.533	
3.340	3.590	3.409	3.602	3.533	
3.681	3.590	3.409	3.602	3.533	
3.606	3.590	3.409	3.602	3.533	
3.814	3.590	3.409	3.602	3.533	
3.673	3.590	3.409	3.602	3.533	
3.602	3.590	3.409	3.602	3.533	
3.567	3.590	3.409	3.602	3.533	
3.567	3.590	3.409	3.567	3.533	
3.567	3.316	3.409	3.567	3.533	
3.567	3.669	3.409	3.567	3.533	
3.567	3.355	3.409	3.567	3.533	
3.549	3.355	3.409	3.567	3.533	
3.549	3.355	3.409	3.549	3.533	
3.296	3.355	3.409	3.549	3.533	
3.658	3.355	3.409	3.549	3.533	
3.595	3.355	3.409	3.549	3.533	
3.563	3.355	3.409	3.549	3.533	
3.547	3.355	3.409	3.549	3.533	
3.547	3.355	3.409	3.295	3.533	
3.547	3.355	3.409	3.658	3.533	
3.547	3.355	3.409	3.595	3.533	
3.547	3.355	3.409	3.318	3.533	
3.540	3.355	3.409	3.318	3.533	
3.291	3.355	3.409	3.318	3.533	
3.656	3.355	3.409	3.318	3.533	
3.594	3.355	3.409	3.318	3.533	
3.563	3.355	3.409	3.318	3.533	
3.547	3.355	3.409	3.318	3.533	
3.294	3.355	3.409	3.318	3.533	
3.294	3.355	3.409	3.318	3.532	
3.294	3.355	3.409	3.318	3.532	
3.294	3.355	3.409	3.318	3.532	
3.294	3.355	3.409	3.318	3.776	
3.294	3.355	3.409	3.318	3.654	
3.294	3.355	3.409	3.318	3.593	
3.294	3.355	3.409	3.318	3.562	
3.294	3.355	3.409	3.318	3.302	
3.294	3.355	3.409	3.318	3.417	
3.294	3.355	3.409	3.318	3.719	
3.294	3.355	3.409	3.318	3.625	
3.294	3.355	3.409	3.318	3.334	
3.294	3.355	3.409	3.318	3.677	
3.294	3.355	3.409	3.318	3.604	
3.294	3.355	3.409	3.318	3.568	
3.294	3.355	3.409	3.318	3.305	
3.294	3.355	3.409	3.318	3.418	
3.294	3.355	3.409	3.318	3.720	
3.294	3.355	3.409	3.318	3.626	
3.294	3.355	3.409	3.318	3.334	
3.294	3.355	3.226	3.318	3.334	
3.294	3.355	3.379	3.318	3.334	
3.294	3.355	3.700	3.318	3.334	
3.294	3.355	3.616	3.318	3.334	
3.294	3.355	3.574	3.318	3.334	
3.294	3.355	3.308	3.318	3.334	
3.294	3.355	3.420	3.318	3.334	
3.294	3.355	3.720	3.318	3.334	
3.294	3.355	3.626	3.318	3.334	
3.294	3.355	3.579	3.318	3.334	
3.294	3.355	3.555	3.318	3.334	
3.294	3.355	3.298	3.318	3.334	
3.294	3.355	3.660	3.318	3.334	
3.294	3.355	3.596	3.318	3.334	
3.294	3.355	3.564	3.318	3.334	
3.294	3.355	3.303	3.318	3.334	
3.294	3.198	3.303	3.318	3.334	
3.294	3.365	3.303	3.318	3.334	
3.294	3.693	3.303	3.318	3.334	
3.294	3.612	3.303	3.318	3.334	
3.294	3.327	3.303	3.318	3.334	
3.294	3.674	3.303	3.318	3.334	
3.294	3.603	3.303	3.318	3.334	
3.294	3.322	3.303	3.318	3.334	
3.294	3.427	3.303	3.318	3.334	
3.294	3.724	3.303	3.318	3.334	
3.294	3.628	3.303	3.318	3.334	
3.294	3.335	3.303	3.318	3.334	
3.294	3.188	3.303	3.318	3.334	
3.294	3.605	3.303	3.318	3.334	
3.294	3.568	3.303	3.318	3.334	
3.294	3.550	3.303	3.318	3.334	
3.294	3.541	3.303	3.318	3.334	
3.294	3.536	3.303	3.318	3.334	
3.294	3.534	3.303	3.318	3.334	
3.294	3.288	3.303	3.318	3.334	
3.294	3.655	3.303	3.318	3.334	
3.294	3.593	3.303	3.318	3.334	
3.294	3.562	3.303	3.318	3.334	
3.294	3.302	3.303	3.318	3.334	
3.294	3.662	3.303	3.318	3.334	
3.294	3.597	3.303	3.318	3.334	
3.294	3.564	3.303	3.318	3.334	
3.294	3.548	3.303	3.318	3.334	
3.294	3.540	3.303	3.318	3.334	
3.294	3.291	3.303	3.318	3.334	
3.294	3.411	3.303	3.318	3.334	
3.294	3.471	3.303	3.318	3.334	
3.294	3.501	3.303	3.318	3.334	
3.294	3.272	3.303	3.318	3.334	
3.294	3.402	3.303	3.318	3.334	
3.294	3.711	3.303	3.318	3.334	
3.294	3.377	3.303	3.318	3.334	
3.294	3.454	3.303	3.318	3.334	
3.294	3.738	3.303	3.318	3.334	
3.294	3.390	3.303	3.318	3.334	
3.294	3.216	3.303	3.318	3.334	
3.294	3.374	3.303	3.318	3.334	
3.294	3.453	3.303	3.318	3.334	
3.294	3.492	3.303	3.318	3.334	
3.294	3.512	3.303	3.318	3.334	
3.294	3.522	3.303	3.318	3.334	
3.294	3.282	3.303	3.318	3.334	
3.294	3.407	3.303	3.318	3.334	
3.294	3.469	3.303	3.318	3.334	
3.294	3.500	3.303	3.318	3.334	
3.294	3.516	3.303	3.318	3.334	
3.294	3.524	3.303	3.318	3.334	
3.294	3.283	3.303	3.318	3.334	
3.294	3.407	3.303	3.318	3.334	
3.294	3.469	3.303	3.318	3.334	
