Server_0E	Server_0	Server_0D	Server_03	Server_05	
3.776	4.000	3.454	3.692	3.827	
4.143	4.000	3.454	3.692	3.827	
4.327	4.000	3.454	3.692	3.827	
4.174	4.000	3.454	3.692	3.827	
4.098	4.000	3.454	3.692	3.827	
4.059	4.000	3.454	3.692	3.827	
4.040	4.000	3.454	3.692	3.827	
4.031	4.000	3.454	3.692	3.827	
4.026	4.000	3.454	3.692	3.827	
4.024	4.000	3.454	3.692	3.827	
4.022	4.000	3.454	3.692	3.827	
4.022	4.000	3.454	3.692	3.827	
4.021	4.000	3.454	3.692	3.827	
3.777	4.000	3.454	3.692	3.827	
3.899	4.000	3.454	3.692	3.827	
3.960	4.000	3.454	3.692	3.827	
3.991	4.000	3.454	3.692	3.827	
3.991	3.766	3.454	3.692	3.827	
3.761	3.766	3.454	3.692	3.827	
3.761	3.766	3.454	3.692	3.679	
3.761	3.649	3.454	3.692	3.679	
3.646	3.649	3.454	3.692	3.679	
3.646	3.649	3.454	3.612	3.679	
3.646	3.649	3.454	3.817	3.679	
3.646	3.649	3.454	3.919	3.679	
3.646	3.649	3.454	3.725	3.679	
3.646	3.649	3.454	3.628	3.679	
3.646	3.649	3.454	3.825	3.679	
3.646	3.649	3.454	3.678	3.679	
3.646	3.649	3.454	3.678	3.605	
3.646	3.649	3.454	3.605	3.605	
3.646	3.649	3.454	3.813	3.605	
3.646	3.649	3.454	3.672	3.605	
3.646	3.649	3.454	3.847	3.605	
3.646	3.649	3.454	3.934	3.605	
3.646	3.649	3.454	3.978	3.605	
3.646	3.649	3.454	3.755	3.605	
3.646	3.649	3.454	3.888	3.605	
3.646	3.649	3.454	3.710	3.605	
3.646	3.649	3.454	3.865	3.605	
3.646	3.649	3.454	3.699	3.605	
3.646	3.649	3.454	3.615	3.605	
3.646	3.649	3.454	3.818	3.605	
3.646	3.649	3.454	3.675	3.605	
3.646	3.649	3.454	3.603	3.605	
3.646	3.649	3.454	3.812	3.605	
3.646	3.649	3.454	3.672	3.605	
3.646	3.649	3.454	3.602	3.605	
3.646	3.590	3.454	3.602	3.605	
3.646	3.806	3.454	3.602	3.605	
3.646	3.669	3.454	3.602	3.605	
3.646	3.355	3.454	3.602	3.605	
3.344	3.355	3.454	3.602	3.605	
3.344	3.355	3.454	3.602	3.324	
3.344	3.355	3.454	3.567	3.324	
3.344	3.355	3.454	3.794	3.324	
3.344	3.355	3.454	3.908	3.324	
3.344	3.355	3.454	3.475	3.324	
3.344	3.355	3.454	3.503	3.324	
3.344	3.355	3.454	3.762	3.324	
3.344	3.355	3.454	3.647	3.324	
3.344	3.355	3.454	3.344	3.324	
3.344	3.355	3.454	3.683	3.324	
3.344	3.355	3.454	3.607	3.324	
3.344	3.355	3.454	3.324	3.324	
3.344	3.355	3.454	3.428	3.324	
3.344	3.355	3.454	3.725	3.324	
3.344	3.355	3.454	3.628	3.324	
3.344	3.355	3.454	3.580	3.324	
