Server_0E	Server_0	Server_02	Server_06	Server_03	
3.776	4.000	3.840	3.791	3.138	
3.776	3.521	3.840	3.791	3.138	
3.776	3.521	3.686	3.791	3.138	
3.776	3.521	3.686	3.661	3.138	
3.409	3.521	3.686	3.661	3.138	
3.409	3.521	3.609	3.661	3.138	
3.409	3.521	3.609	3.351	3.138	
3.409	3.521	3.570	3.351	3.138	
3.409	3.521	3.551	3.351	3.138	
3.409	3.521	3.541	3.351	3.138	
3.409	3.521	3.292	3.351	3.138	
3.409	3.281	3.292	3.351	3.138	
3.409	3.406	3.292	3.351	3.138	
3.225	3.406	3.292	3.351	3.138	
3.225	3.224	3.292	3.351	3.138	
3.225	3.224	3.292	3.197	3.138	
3.225	3.224	3.292	3.364	3.138	
3.225	3.224	3.292	3.203	3.138	
3.225	3.224	3.292	3.612	3.138	
3.225	3.224	3.292	3.327	3.138	
3.225	3.224	3.292	3.429	3.138	
3.225	3.224	3.292	3.725	3.138	
3.225	3.224	3.292	3.384	3.138	
3.225	3.224	3.292	3.213	3.138	
3.225	3.224	3.292	3.372	3.138	
3.225	3.224	3.292	3.697	3.138	
3.225	3.224	3.292	3.614	3.138	
3.225	3.224	3.292	3.573	3.138	
3.225	3.224	3.292	3.307	3.138	
3.225	3.224	3.292	3.419	3.138	
3.225	3.224	3.292	3.720	3.138	
3.225	3.224	3.292	3.626	3.138	
3.225	3.224	3.292	3.334	3.138	
3.225	3.224	3.292	3.678	3.138	
3.225	3.224	3.292	3.605	3.138	
3.225	3.224	3.292	3.568	3.138	
3.225	3.224	3.292	3.550	3.138	
3.225	3.224	3.292	3.296	3.138	
3.225	3.224	3.292	3.414	3.138	
3.225	3.224	3.292	3.717	3.138	
3.225	3.224	3.292	3.625	3.138	
3.225	3.224	3.292	3.333	3.138	
3.225	3.224	3.292	3.187	3.138	
3.225	3.224	3.292	3.604	3.138	
3.225	3.224	3.292	3.323	3.138	
3.225	3.224	3.292	3.182	3.138	
3.225	3.224	3.292	3.602	3.138	
3.225	3.224	3.292	3.567	3.138	
3.225	3.224	3.292	3.549	3.138	
3.225	3.224	3.292	3.540	3.138	
3.225	3.224	3.292	3.536	3.138	
3.225	3.224	3.292	3.534	3.138	
3.225	3.224	3.292	3.533	3.138	
3.225	3.224	3.292	3.532	3.138	
3.225	3.224	3.292	3.287	3.138	
3.225	3.224	3.292	3.409	3.138	
3.225	3.224	3.292	3.715	3.138	
3.225	3.224	3.292	3.623	3.138	
3.225	3.224	3.292	3.333	3.138	
3.225	3.224	3.292	3.677	3.138	
3.225	3.224	3.292	3.604	3.138	
3.225	3.224	3.292	3.568	3.138	
3.225	3.224	3.292	3.550	3.138	
3.225	3.224	3.292	3.296	3.138	
3.225	3.224	3.292	3.414	3.138	
3.225	3.224	3.292	3.717	3.138	
3.225	3.224	3.292	3.380	3.138	
3.225	3.224	3.292	3.211	3.138	
3.225	3.224	3.292	3.616	3.138	
3.225	3.224	3.292	3.574	3.138	
3.225	3.224	3.292	3.308	3.138	
3.225	3.224	3.292	3.420	3.138	
3.225	3.224	3.292	3.720	3.138	
3.225	3.224	3.292	3.626	3.138	
3.225	3.224	3.292	3.579	3.138	
3.225	3.224	3.292	3.555	3.138	
3.225	3.224	3.292	3.543	3.138	
3.225	3.224	3.292	3.537	3.138	
3.225	3.224	3.292	3.535	3.138	
3.225	3.224	3.292	3.778	3.138	
3.225	3.224	3.292	3.655	3.138	
3.225	3.224	3.292	3.593	3.138	
3.225	3.224	3.292	3.562	3.138	
3.225	3.224	3.292	3.547	3.138	
3.225	3.224	3.292	3.539	3.138	
3.225	3.224	3.292	3.535	3.138	
3.225	3.224	3.292	3.534	3.138	
3.225	3.224	3.292	3.533	3.138	
3.225	3.224	3.292	3.532	3.138	
3.225	3.224	3.292	3.532	3.138	
3.225	3.224	3.292	3.532	3.138	
3.225	3.224	3.292	3.532	3.138	
3.225	3.224	3.292	3.532	3.138	
3.225	3.224	3.292	3.532	3.138	
3.225	3.224	3.292	3.532	3.138	
3.225	3.224	3.292	3.532	3.138	
3.225	3.224	3.292	3.287	3.138	
3.225	3.224	3.292	3.654	3.138	
3.225	3.224	3.292	3.593	3.138	
3.225	3.224	3.292	3.317	3.138	
3.225	3.224	3.292	3.669	3.138	
3.225	3.224	3.292	3.600	3.138	
3.225	3.224	3.292	3.566	3.138	
3.225	3.224	3.292	3.549	3.138	
