Server_0E	Server_0	Server_03	Server_02	Server_0C	
3.776	4.000	3.992	3.464	3.309	
3.776	3.766	3.992	3.464	3.309	
3.776	3.766	3.517	3.464	3.309	
3.654	3.766	3.517	3.464	3.309	
3.654	3.649	3.517	3.464	3.309	
3.593	3.649	3.517	3.464	3.309	
3.593	3.590	3.517	3.464	3.309	
3.562	3.590	3.517	3.464	3.309	
3.562	3.561	3.517	3.464	3.309	
3.547	3.561	3.517	3.464	3.309	
3.547	3.546	3.517	3.464	3.309	
3.539	3.546	3.517	3.464	3.309	
3.539	3.539	3.517	3.464	3.309	
3.535	3.539	3.517	3.464	3.309	
3.535	3.535	3.517	3.464	3.309	
3.534	3.535	3.517	3.464	3.309	
3.534	3.533	3.517	3.464	3.309	
3.533	3.533	3.517	3.464	3.309	
3.533	3.533	3.517	3.464	3.309	
3.532	3.533	3.517	3.464	3.309	
3.532	3.532	3.517	3.464	3.309	
3.532	3.532	3.517	3.464	3.309	
3.777	3.532	3.517	3.464	3.309	
3.654	3.532	3.517	3.464	3.309	
3.593	3.532	3.517	3.464	3.309	
3.562	3.532	3.517	3.464	3.309	
3.792	3.532	3.517	3.464	3.309	
3.417	3.532	3.517	3.464	3.309	
3.417	3.532	3.517	3.464	3.309	
3.417	3.287	3.517	3.464	3.309	
3.417	3.287	3.279	3.464	3.309	
3.417	3.287	3.405	3.464	3.309	
3.417	3.287	3.713	3.464	3.309	
3.417	3.287	3.622	3.464	3.309	
3.417	3.287	3.822	3.464	3.309	
3.417	3.287	3.432	3.464	3.309	
3.417	3.287	3.482	3.464	3.309	
3.417	3.287	3.507	3.464	3.309	
3.417	3.287	3.519	3.464	3.309	
3.417	3.287	3.280	3.464	3.309	
3.417	3.287	3.651	3.464	3.309	
3.417	3.287	3.591	3.464	3.309	
3.417	3.287	3.561	3.464	3.309	
3.417	3.287	3.546	3.464	3.309	
3.417	3.287	3.294	3.464	3.309	
3.417	3.287	3.658	3.464	3.309	
3.417	3.287	3.595	3.464	3.309	
3.417	3.287	3.318	3.464	3.309	
3.417	3.287	3.670	3.464	3.309	
3.417	3.287	3.601	3.464	3.309	
3.417	3.287	3.566	3.464	3.309	
3.417	3.287	3.549	3.464	3.309	
3.417	3.287	3.295	3.464	3.309	
3.417	3.287	3.413	3.464	3.309	
3.417	3.287	3.717	3.464	3.309	
3.417	3.287	3.624	3.464	3.309	
3.417	3.287	3.578	3.464	3.309	
3.417	3.287	3.310	3.464	3.309	
3.417	3.287	3.421	3.464	3.309	
3.417	3.287	3.721	3.464	3.309	
3.417	3.287	3.381	3.464	3.309	
3.417	3.287	3.381	3.253	3.309	
3.417	3.287	3.381	3.637	3.309	
3.417	3.287	3.381	3.584	3.309	
3.417	3.287	3.381	3.313	3.309	
3.417	3.287	3.381	3.422	3.309	
3.417	3.287	3.381	3.722	3.309	
3.417	3.287	3.381	3.627	3.309	
3.417	3.287	3.381	3.334	3.309	
3.417	3.287	3.381	3.433	3.309	
3.417	3.287	3.381	3.727	3.309	
3.417	3.287	3.381	3.629	3.309	
3.417	3.287	3.381	3.580	3.309	
3.417	3.287	3.381	3.556	3.309	
3.417	3.287	3.381	3.299	3.309	
3.417	3.287	3.381	3.660	3.309	
3.417	3.287	3.381	3.351	3.309	
3.229	3.287	3.381	3.351	3.309	
3.625	3.287	3.381	3.351	3.309	
3.578	3.287	3.381	3.351	3.309	
3.555	3.287	3.381	3.351	3.309	
3.788	3.287	3.381	3.351	3.309	
3.660	3.287	3.381	3.351	3.309	
3.596	3.287	3.381	3.351	3.309	
3.319	3.287	3.381	3.351	3.309	
3.425	3.287	3.381	3.351	3.309	
3.723	3.287	3.381	3.351	3.309	
3.627	3.287	3.381	3.351	3.309	
3.579	3.287	3.381	3.351	3.309	
3.311	3.287	3.381	3.351	3.309	
3.421	3.287	3.381	3.351	3.309	
3.476	3.287	3.381	3.351	3.309	
3.749	3.287	3.381	3.351	3.309	
3.640	3.287	3.381	3.351	3.309	
3.586	3.287	3.381	3.351	3.309	
3.314	3.287	3.381	3.351	3.309	
3.423	3.287	3.381	3.351	3.309	
3.722	3.287	3.381	3.351	3.309	
3.627	3.287	3.381	3.351	3.309	
3.579	3.287	3.381	3.351	3.309	
3.555	3.287	3.381	3.351	3.309	
3.543	3.287	3.381	3.351	3.309	
3.293	3.287	3.381	3.351	3.309	
3.412	3.287	3.381	3.351	3.309	
3.717	3.287	3.381	3.351	3.309	
3.624	3.287	3.381	3.351	3.309	
3.333	3.287	3.381	3.351	3.309	
3.432	3.287	3.381	3.351	3.309	
3.482	3.287	3.381	3.351	3.309	
3.507	3.287	3.381	3.351	3.309	
3.519	3.287	3.381	3.351	3.309	
3.525	3.287	3.381	3.351	3.309	
3.284	3.287	3.381	3.351	3.309	
3.652	3.287	3.381	3.351	3.309	
3.592	3.287	3.381	3.351	3.309	
3.317	3.287	3.381	3.351	3.309	
3.317	3.287	3.212	3.351	3.309	
