Server_0F	Server_0	Server_01	Server_0D	Server_0E	
3.776	4.000	3.341	3.698	3.553	
4.388	4.000	3.341	3.698	3.553	
4.449	4.000	3.341	3.698	3.553	
3.256	4.000	3.341	3.698	3.553	
3.639	4.000	3.341	3.698	3.553	
3.830	4.000	3.341	3.698	3.553	
3.926	4.000	3.341	3.698	3.553	
3.973	4.000	3.341	3.698	3.553	
3.997	4.000	3.341	3.698	3.553	
4.009	4.000	3.341	3.698	3.553	
4.015	4.000	3.341	3.698	3.553	
4.018	4.000	3.341	3.698	3.553	
4.020	4.000	3.341	3.698	3.553	
4.020	4.000	3.341	3.698	3.553	
4.021	4.000	3.341	3.698	3.553	
4.021	4.000	3.341	3.698	3.553	
4.021	4.000	3.341	3.698	3.553	
3.776	4.000	3.341	3.698	3.553	
3.899	4.000	3.341	3.698	3.553	
3.899	3.766	3.341	3.698	3.553	
3.715	3.766	3.341	3.698	3.553	
3.715	3.649	3.341	3.698	3.553	
3.378	3.649	3.341	3.698	3.553	
3.378	3.649	3.341	3.615	3.553	
3.378	3.590	3.341	3.615	3.553	
3.378	3.590	3.341	3.328	3.553	
3.378	3.561	3.341	3.328	3.553	
3.378	3.546	3.341	3.328	3.553	
3.378	3.546	3.341	3.328	3.298	
3.378	3.539	3.341	3.328	3.298	
3.378	3.535	3.341	3.328	3.298	
3.378	3.289	3.341	3.328	3.298	
3.378	3.410	3.341	3.328	3.298	
3.378	3.716	3.341	3.328	3.298	
3.378	3.624	3.341	3.328	3.298	
3.378	3.333	3.341	3.328	3.298	
3.378	3.677	3.341	3.328	3.298	
3.378	3.604	3.341	3.328	3.298	
3.378	3.568	3.341	3.328	3.298	
3.378	3.795	3.341	3.328	3.298	
3.378	3.663	3.341	3.328	3.298	
3.378	3.597	3.341	3.328	3.298	
3.378	3.564	3.341	3.328	3.298	
3.378	3.548	3.341	3.328	3.298	
3.378	3.540	3.341	3.328	3.298	
3.378	3.780	3.341	3.328	3.298	
3.378	3.656	3.341	3.328	3.298	
3.378	3.594	3.341	3.328	3.298	
3.378	3.318	3.341	3.328	3.298	
3.210	3.318	3.341	3.328	3.298	
3.616	3.318	3.341	3.328	3.298	
3.574	3.318	3.341	3.328	3.298	
3.553	3.318	3.341	3.328	3.298	
3.787	3.318	3.341	3.328	3.298	
3.414	3.318	3.341	3.328	3.298	
3.473	3.318	3.341	3.328	3.298	
3.747	3.318	3.341	3.328	3.298	
3.639	3.318	3.341	3.328	3.298	
3.341	3.318	3.341	3.328	3.298	
3.681	3.318	3.341	3.328	3.298	
3.361	3.318	3.341	3.328	3.298	
3.446	3.318	3.341	3.328	3.298	
3.734	3.318	3.341	3.328	3.298	
3.633	3.318	3.341	3.328	3.298	
3.337	3.318	3.341	3.328	3.298	
3.434	3.318	3.341	3.328	3.298	
3.728	3.318	3.341	3.328	3.298	
3.630	3.318	3.341	3.328	3.298	
3.336	3.318	3.341	3.328	3.298	
3.336	3.318	3.192	3.328	3.298	
3.336	3.318	3.606	3.328	3.298	
3.336	3.318	3.324	3.328	3.298	
3.336	3.318	3.428	3.328	3.298	
3.336	3.318	3.725	3.328	3.298	
3.336	3.318	3.628	3.328	3.298	
3.336	3.318	3.580	3.328	3.298	
3.336	3.318	3.311	3.328	3.298	
3.336	3.318	3.421	3.328	3.298	
3.336	3.318	3.721	3.328	3.298	
3.336	3.318	3.626	3.328	3.298	
3.336	3.318	3.579	3.328	3.298	
3.336	3.318	3.310	3.328	3.298	
3.336	3.318	3.666	3.328	3.298	
3.336	3.318	3.599	3.328	3.298	
3.336	3.318	3.320	3.328	3.298	
3.189	3.318	3.320	3.328	3.298	
3.605	3.318	3.320	3.328	3.298	
3.323	3.318	3.320	3.328	3.298	
3.672	3.318	3.320	3.328	3.298	
3.602	3.318	3.320	3.328	3.298	
3.567	3.318	3.320	3.328	3.298	
3.549	3.318	3.320	3.328	3.298	
3.540	3.318	3.320	3.328	3.298	
3.291	3.318	3.320	3.328	3.298	
3.656	3.318	3.320	3.328	3.298	
3.349	3.318	3.320	3.328	3.298	
3.195	3.318	3.320	3.328	3.298	
3.608	3.318	3.320	3.328	3.298	
3.570	3.318	3.320	3.328	3.298	
3.796	3.318	3.320	3.328	3.298	
3.664	3.318	3.320	3.328	3.298	
3.353	3.318	3.320	3.328	3.298	
3.442	3.318	3.320	3.328	3.298	
3.487	3.318	3.320	3.328	3.298	
3.264	3.318	3.320	3.328	3.298	
3.398	3.318	3.320	3.328	3.298	
3.710	3.318	3.320	3.328	3.298	
3.621	3.318	3.320	3.328	3.298	
3.331	3.318	3.320	3.328	3.298	
3.676	3.318	3.320	3.328	3.298	
3.604	3.318	3.320	3.328	3.298	
3.323	3.318	3.320	3.328	3.298	
3.427	3.318	3.320	3.328	3.298	
3.479	3.318	3.320	3.328	3.298	
3.261	3.318	3.320	3.328	3.298	
3.396	3.318	3.320	3.328	3.298	
3.464	3.318	3.320	3.328	3.298	
3.743	3.318	3.320	3.328	3.298	
3.637	3.318	3.320	3.328	3.298	
3.584	3.318	3.320	3.328	3.298	
3.558	3.318	3.320	3.328	3.298	
3.545	3.318	3.320	3.328	3.298	
3.538	3.318	3.320	3.328	3.298	
3.290	3.318	3.320	3.328	3.298	
3.411	3.318	3.320	3.328	3.298	
3.471	3.318	3.320	3.328	3.298	
3.501	3.318	3.320	3.328	3.298	
3.516	3.318	3.320	3.328	3.298	
3.279	3.318	3.320	3.328	3.298	
3.405	3.318	3.320	3.328	3.298	
3.224	3.318	3.320	3.328	3.298	
3.378	3.318	3.320	3.328	3.298	
3.455	3.318	3.320	3.328	3.298	
3.248	3.318	3.320	3.328	3.298	
3.390	3.318	3.320	3.328	3.298	
3.461	3.318	3.320	3.328	3.298	
3.251	3.318	3.320	3.328	3.298	
3.391	3.318	3.320	3.328	3.298	
3.462	3.318	3.320	3.328	3.298	
3.252	3.318	3.320	3.328	3.298	
3.392	3.318	3.320	3.328	3.298	
3.462	3.318	3.320	3.328	3.298	
3.252	3.318	3.320	3.328	3.298	
3.392	3.318	3.320	3.328	3.298	
3.462	3.318	3.320	3.328	3.298	
3.252	3.318	3.320	3.328	3.298	
3.392	3.318	3.320	3.328	3.298	
3.462	3.318	3.320	3.328	3.298	
3.252	3.318	3.320	3.328	3.298	
3.392	3.318	3.320	3.328	3.298	
3.217	3.318	3.320	3.328	3.298	
3.374	3.318	3.320	3.328	3.298	
3.208	3.318	3.320	3.328	3.298	
3.370	3.318	3.320	3.328	3.298	
3.206	3.318	3.320	3.328	3.298	
