Server_0F	Server_0	Server_0D	Server_02	Server_03	
3.776	4.000	3.246	3.828	3.472	
3.776	3.521	3.246	3.828	3.472	
3.776	3.521	3.246	3.680	3.472	
3.654	3.521	3.246	3.680	3.472	
3.654	3.521	3.246	3.361	3.472	
3.593	3.521	3.246	3.361	3.472	
3.317	3.521	3.246	3.361	3.472	
3.317	3.281	3.246	3.361	3.472	
3.317	3.406	3.246	3.361	3.472	
3.317	3.469	3.246	3.361	3.472	
3.317	3.500	3.246	3.361	3.472	
3.317	3.516	3.246	3.361	3.472	
3.317	3.279	3.246	3.361	3.472	
3.317	3.279	3.246	3.361	3.257	
3.317	3.279	3.246	3.361	3.394	
3.317	3.279	3.246	3.361	3.463	
3.317	3.279	3.246	3.361	3.497	
3.317	3.279	3.246	3.361	3.514	
3.317	3.279	3.246	3.361	3.278	
3.317	3.279	3.246	3.361	3.405	
3.317	3.279	3.246	3.361	3.468	
3.317	3.279	3.246	3.361	3.500	
3.317	3.279	3.246	3.361	3.516	
3.317	3.279	3.246	3.361	3.524	
3.317	3.279	3.246	3.361	3.528	
3.317	3.279	3.246	3.361	3.530	
3.317	3.279	3.246	3.361	3.531	
3.317	3.279	3.246	3.361	3.531	
3.317	3.279	3.246	3.361	3.531	
3.317	3.279	3.246	3.361	3.287	
3.317	3.279	3.246	3.361	3.654	
3.317	3.279	3.246	3.361	3.593	
3.317	3.279	3.246	3.361	3.317	
3.317	3.279	3.246	3.201	3.317	
3.317	3.279	3.246	3.611	3.317	
3.317	3.279	3.246	3.571	3.317	
3.317	3.279	3.246	3.796	3.317	
3.317	3.279	3.246	3.664	3.317	
3.317	3.279	3.246	3.598	3.317	
3.317	3.279	3.246	3.565	3.317	
3.317	3.279	3.246	3.548	3.317	
3.317	3.279	3.246	3.540	3.317	
3.317	3.279	3.246	3.536	3.317	
3.317	3.279	3.246	3.534	3.317	
3.317	3.279	3.246	3.533	3.317	
3.317	3.279	3.246	3.532	3.317	
3.317	3.279	3.246	3.532	3.317	
3.317	3.279	3.246	3.532	3.317	
3.317	3.279	3.246	3.776	3.317	
3.317	3.279	3.246	3.654	3.317	
3.317	3.279	3.246	3.593	3.317	
3.317	3.279	3.246	3.562	3.317	
3.317	3.279	3.246	3.547	3.317	
3.317	3.279	3.246	3.539	3.317	
3.317	3.279	3.246	3.535	3.317	
3.317	3.279	3.246	3.534	3.317	
3.317	3.279	3.246	3.288	3.317	
3.317	3.279	3.246	3.410	3.317	
3.317	3.279	3.246	3.471	3.317	
3.317	3.279	3.246	3.501	3.317	
3.317	3.279	3.246	3.516	3.317	
3.317	3.279	3.246	3.524	3.317	
3.317	3.279	3.246	3.283	3.317	
3.317	3.279	3.246	3.652	3.317	
3.317	3.279	3.246	3.592	3.317	
3.317	3.279	3.246	3.562	3.317	
3.317	3.279	3.246	3.547	3.317	
3.317	3.279	3.246	3.539	3.317	
3.317	3.279	3.246	3.535	3.317	
3.317	3.279	3.246	3.533	3.317	
3.317	3.279	3.246	3.533	3.317	
3.317	3.279	3.246	3.532	3.317	
3.317	3.279	3.246	3.532	3.317	
3.317	3.279	3.246	3.532	3.317	
3.317	3.279	3.246	3.532	3.317	
3.317	3.279	3.246	3.532	3.317	
3.317	3.279	3.246	3.532	3.317	
3.317	3.279	3.246	3.532	3.317	
3.317	3.279	3.246	3.287	3.317	
3.317	3.279	3.246	3.654	3.317	
3.317	3.279	3.246	3.593	3.317	
3.317	3.279	3.246	3.562	3.317	
3.317	3.279	3.246	3.547	3.317	
3.317	3.279	3.246	3.539	3.317	
3.317	3.279	3.246	3.535	3.317	
3.317	3.279	3.246	3.534	3.317	
3.317	3.279	3.246	3.533	3.317	
3.317	3.279	3.246	3.532	3.317	
3.317	3.279	3.246	3.532	3.317	
3.317	3.279	3.246	3.532	3.317	
3.317	3.279	3.246	3.776	3.317	
3.317	3.279	3.246	3.654	3.317	
3.317	3.279	3.246	3.593	3.317	
3.317	3.279	3.246	3.562	3.317	
3.317	3.279	3.246	3.547	3.317	
3.317	3.279	3.246	3.539	3.317	
3.317	3.279	3.246	3.535	3.317	
3.317	3.279	3.246	3.534	3.317	
3.317	3.279	3.246	3.533	3.317	
3.317	3.279	3.246	3.532	3.317	
3.317	3.279	3.246	3.532	3.317	
3.317	3.279	3.246	3.532	3.317	
3.317	3.279	3.246	3.532	3.317	
3.317	3.279	3.246	3.532	3.317	
3.317	3.279	3.246	3.287	3.317	
3.317	3.279	3.246	3.409	3.317	
3.317	3.279	3.246	3.715	3.317	
3.317	3.279	3.246	3.623	3.317	
3.317	3.279	3.246	3.577	3.317	
3.317	3.279	3.246	3.555	3.317	
3.317	3.279	3.246	3.543	3.317	
3.317	3.279	3.246	3.537	3.317	
3.317	3.279	3.246	3.290	3.317	
3.317	3.279	3.246	3.655	3.317	
3.317	3.279	3.246	3.593	3.317	
3.317	3.279	3.246	3.563	3.317	
3.317	3.279	3.246	3.547	3.317	
3.317	3.279	3.246	3.539	3.317	
3.317	3.279	3.246	3.535	3.317	
3.317	3.279	3.246	3.534	3.317	
3.317	3.279	3.246	3.533	3.317	
3.317	3.279	3.246	3.532	3.317	
3.317	3.279	3.246	3.287	3.317	
3.317	3.279	3.246	3.409	3.317	
3.317	3.279	3.246	3.715	3.317	
3.317	3.279	3.246	3.623	3.317	
3.317	3.279	3.246	3.578	3.317	
3.317	3.279	3.246	3.555	3.317	
3.317	3.279	3.246	3.298	3.317	
3.317	3.279	3.246	3.660	3.317	
3.317	3.279	3.246	3.596	3.317	
3.317	3.279	3.246	3.564	3.317	
3.317	3.279	3.246	3.548	3.317	
3.317	3.279	3.246	3.540	3.317	
3.317	3.279	3.246	3.536	3.317	
3.317	3.279	3.246	3.534	3.317	
3.317	3.279	3.246	3.533	3.317	
3.317	3.279	3.246	3.532	3.317	
3.317	3.279	3.246	3.532	3.317	
3.317	3.279	3.246	3.532	3.317	
3.317	3.279	3.246	3.532	3.317	
3.317	3.279	3.246	3.532	3.317	
3.317	3.279	3.246	3.532	3.317	
3.317	3.279	3.246	3.532	3.317	
3.317	3.279	3.246	3.532	3.317	
3.317	3.279	3.246	3.532	3.317	
