Server_0F	Server_0	Server_06	Server_0A	Server_03	
3.776	4.000	3.982	3.032	3.789	
4.388	4.000	3.982	3.032	3.789	
4.449	4.000	3.982	3.032	3.789	
4.235	4.000	3.982	3.032	3.789	
4.128	4.000	3.982	3.032	3.789	
4.075	4.000	3.982	3.032	3.789	
4.048	4.000	3.982	3.032	3.789	
4.035	4.000	3.982	3.032	3.789	
4.028	4.000	3.982	3.032	3.789	
4.025	4.000	3.982	3.032	3.789	
4.023	4.000	3.982	3.032	3.789	
4.022	4.000	3.982	3.032	3.789	
4.022	4.000	3.982	3.032	3.789	
4.021	4.000	3.982	3.032	3.789	
4.021	4.000	3.982	3.032	3.789	
4.021	4.000	3.982	3.032	3.789	
3.776	4.000	3.982	3.032	3.789	
3.899	4.000	3.982	3.032	3.789	
3.960	4.000	3.982	3.032	3.789	
3.960	3.766	3.982	3.032	3.789	
3.960	3.766	3.757	3.032	3.789	
3.746	3.766	3.757	3.032	3.789	
3.883	3.766	3.757	3.032	3.789	
3.952	3.766	3.757	3.032	3.789	
3.742	3.766	3.757	3.032	3.789	
3.882	3.766	3.757	3.032	3.789	
3.951	3.766	3.757	3.032	3.789	
3.741	3.766	3.757	3.032	3.789	
3.881	3.766	3.757	3.032	3.789	
3.706	3.766	3.757	3.032	3.789	
3.706	3.766	3.757	3.032	3.660	
3.706	3.766	3.757	3.032	3.841	
3.706	3.766	3.757	3.032	3.686	
3.706	3.649	3.757	3.032	3.686	
3.706	3.649	3.644	3.032	3.686	
3.706	3.649	4.077	3.032	3.686	
3.706	3.649	3.804	3.032	3.686	
3.706	3.649	3.668	3.032	3.686	
3.706	3.649	3.845	3.032	3.686	
3.706	3.649	3.688	3.032	3.686	
3.706	3.649	3.855	3.032	3.686	
3.706	3.649	3.938	3.032	3.686	
3.706	3.649	3.735	3.032	3.686	
3.706	3.649	3.878	3.032	3.686	
3.706	3.649	3.705	3.032	3.686	
3.619	3.649	3.705	3.032	3.686	
3.820	3.649	3.705	3.032	3.686	
3.676	3.649	3.705	3.032	3.686	
3.676	3.649	3.618	3.032	3.686	
3.676	3.649	3.820	3.032	3.686	
3.676	3.649	3.676	3.032	3.686	
3.676	3.649	3.676	3.032	3.609	
3.604	3.649	3.676	3.032	3.609	
3.604	3.649	3.604	3.032	3.609	
3.604	3.590	3.604	3.032	3.609	
3.604	3.806	3.604	3.032	3.609	
3.604	3.424	3.604	3.032	3.609	
3.604	3.424	3.604	3.032	3.570	
3.323	3.424	3.604	3.032	3.570	
3.323	3.424	3.568	3.032	3.570	
3.323	3.424	3.568	3.032	3.551	
3.323	3.424	3.568	3.032	3.786	
3.323	3.424	3.568	3.032	3.414	
3.323	3.424	3.550	3.032	3.414	
3.323	3.424	3.541	3.032	3.414	
3.323	3.424	3.291	3.032	3.414	
3.323	3.424	3.656	3.032	3.414	
3.323	3.424	3.594	3.032	3.414	
3.323	3.424	3.563	3.032	3.414	
3.323	3.424	3.302	3.032	3.414	
3.323	3.424	3.662	3.032	3.414	
3.323	3.424	3.597	3.032	3.414	
3.323	3.424	3.319	3.032	3.414	
3.323	3.424	3.425	3.032	3.414	
3.323	3.424	3.723	3.032	3.414	
3.323	3.424	3.383	3.032	3.414	
3.323	3.233	3.383	3.032	3.414	
3.323	3.627	3.383	3.032	3.414	
3.323	3.334	3.383	3.032	3.414	
3.323	3.433	3.383	3.032	3.414	
3.323	3.727	3.383	3.032	3.414	
3.323	3.629	3.383	3.032	3.414	
3.323	3.336	3.383	3.032	3.414	
3.323	3.336	3.383	3.032	3.228	
3.323	3.336	3.383	3.032	3.380	
3.323	3.336	3.383	3.032	3.456	
3.323	3.336	3.383	3.032	3.738	
3.323	3.336	3.383	3.032	3.390	
3.323	3.336	3.383	3.032	3.461	
3.323	3.336	3.383	3.032	3.741	
3.323	3.336	3.383	3.032	3.636	
3.323	3.336	3.383	3.032	3.584	
3.323	3.336	3.383	3.032	3.313	
3.323	3.336	3.383	3.032	3.422	
3.323	3.336	3.383	3.032	3.477	
3.323	3.336	3.383	3.032	3.749	
3.323	3.336	3.383	3.032	3.395	
3.323	3.336	3.383	3.032	3.219	
3.323	3.336	3.383	3.032	3.620	
3.323	3.336	3.383	3.032	3.576	
3.323	3.336	3.383	3.032	3.309	
3.323	3.336	3.212	3.032	3.309	
3.323	3.336	3.617	3.032	3.309	
3.323	3.336	3.329	3.032	3.309	
3.323	3.336	3.430	3.032	3.309	
3.323	3.336	3.726	3.032	3.309	
3.323	3.336	3.384	3.032	3.309	
3.323	3.336	3.213	3.032	3.309	
3.323	3.336	3.617	3.032	3.309	
3.323	3.336	3.574	3.032	3.309	
3.323	3.336	3.553	3.032	3.309	
3.323	3.336	3.542	3.032	3.309	
3.323	3.336	3.292	3.032	3.309	
