Server_0F	Server_0	Server_0B	Server_00	Server_0D	
3.776	4.000	3.500	3.741	3.530	
4.143	4.000	3.500	3.741	3.530	
4.327	4.000	3.500	3.741	3.530	
4.174	4.000	3.500	3.741	3.530	
4.098	4.000	3.500	3.741	3.530	
4.059	4.000	3.500	3.741	3.530	
4.040	4.000	3.500	3.741	3.530	
3.786	4.000	3.500	3.741	3.530	
3.904	4.000	3.500	3.741	3.530	
3.962	4.000	3.500	3.741	3.530	
3.992	4.000	3.500	3.741	3.530	
4.006	4.000	3.500	3.741	3.530	
4.014	4.000	3.500	3.741	3.530	
4.018	4.000	3.500	3.741	3.530	
4.019	4.000	3.500	3.741	3.530	
4.020	4.000	3.500	3.741	3.530	
3.776	4.000	3.500	3.741	3.530	
3.899	4.000	3.500	3.741	3.530	
3.960	4.000	3.500	3.741	3.530	
3.960	3.766	3.500	3.741	3.530	
3.746	3.766	3.500	3.741	3.530	
3.746	3.649	3.500	3.741	3.530	
3.639	3.649	3.500	3.741	3.530	
3.639	3.649	3.500	3.636	3.530	
3.639	3.590	3.500	3.636	3.530	
3.340	3.590	3.500	3.636	3.530	
3.340	3.590	3.500	3.584	3.530	
3.340	3.590	3.500	3.803	3.530	
3.340	3.590	3.500	3.667	3.530	
3.340	3.590	3.500	3.844	3.530	
3.340	3.590	3.500	3.688	3.530	
3.340	3.590	3.500	3.610	3.530	
3.340	3.590	3.500	4.060	3.530	
3.340	3.590	3.500	3.796	3.530	
3.340	3.590	3.500	3.664	3.530	
3.340	3.590	3.500	3.598	3.530	
3.340	3.590	3.500	3.809	3.530	
3.340	3.590	3.500	3.915	3.530	
3.340	3.590	3.500	3.723	3.530	
3.340	3.590	3.500	3.872	3.530	
3.340	3.590	3.500	3.702	3.530	
3.340	3.590	3.500	3.862	3.530	
3.340	3.590	3.500	3.697	3.530	
3.340	3.590	3.500	3.859	3.530	
3.340	3.590	3.500	3.695	3.530	
3.340	3.590	3.500	3.613	3.530	
3.340	3.590	3.500	3.817	3.530	
3.340	3.590	3.500	3.674	3.530	
3.340	3.590	3.500	3.603	3.530	
3.340	3.590	3.500	3.567	3.530	
3.340	3.561	3.500	3.567	3.530	
3.340	3.791	3.500	3.567	3.530	
3.340	3.416	3.500	3.567	3.530	
3.340	3.416	3.500	3.549	3.530	
3.340	3.416	3.500	3.296	3.530	
3.340	3.416	3.500	3.414	3.530	
3.340	3.416	3.500	3.473	3.530	
3.340	3.416	3.500	3.473	3.286	
3.340	3.416	3.500	3.473	3.654	
3.340	3.416	3.500	3.473	3.593	
3.340	3.416	3.500	3.473	3.317	
3.340	3.416	3.500	3.473	3.424	
3.340	3.416	3.500	3.473	3.723	
3.340	3.416	3.500	3.473	3.627	
3.340	3.416	3.500	3.473	3.579	
3.340	3.416	3.500	3.473	3.311	
3.340	3.416	3.500	3.473	3.666	
3.340	3.416	3.500	3.473	3.599	
3.340	3.416	3.500	3.473	3.565	
3.340	3.416	3.500	3.473	3.548	
3.340	3.416	3.500	3.473	3.540	
3.340	3.416	3.500	3.473	3.536	
3.340	3.416	3.500	3.473	3.534	
3.340	3.416	3.500	3.473	3.288	
3.340	3.416	3.500	3.473	3.410	
3.340	3.416	3.500	3.473	3.715	
3.340	3.416	3.500	3.473	3.379	
3.340	3.416	3.500	3.473	3.700	
3.340	3.416	3.500	3.473	3.616	
3.340	3.416	3.500	3.473	3.329	
3.340	3.416	3.500	3.473	3.430	
3.340	3.416	3.500	3.473	3.726	
3.340	3.416	3.500	3.473	3.629	
3.340	3.416	3.500	3.473	3.580	
3.340	3.416	3.500	3.473	3.556	
3.340	3.416	3.500	3.473	3.299	
3.340	3.416	3.500	3.473	3.415	
3.340	3.416	3.500	3.473	3.718	
3.340	3.416	3.500	3.473	3.380	
3.340	3.416	3.271	3.473	3.380	
3.340	3.416	3.401	3.473	3.380	
3.340	3.416	3.466	3.473	3.380	
3.340	3.416	3.744	3.473	3.380	
3.340	3.416	3.638	3.473	3.380	
3.340	3.416	3.585	3.473	3.380	
3.340	3.416	3.313	3.473	3.380	
3.340	3.416	3.667	3.473	3.380	
3.340	3.416	3.599	3.473	3.380	
3.340	3.416	3.321	3.473	3.380	
3.340	3.416	3.321	3.257	3.380	
3.340	3.416	3.321	3.394	3.380	
3.340	3.416	3.321	3.708	3.380	
3.340	3.416	3.321	3.620	3.380	
3.340	3.416	3.321	3.331	3.380	
3.340	3.416	3.321	3.431	3.380	
3.340	3.416	3.321	3.726	3.380	
3.340	3.416	3.321	3.629	3.380	
3.340	3.416	3.321	3.335	3.380	
3.340	3.416	3.321	3.678	3.380	
3.340	3.416	3.321	3.605	3.380	
3.340	3.416	3.321	3.568	3.380	
3.340	3.416	3.321	3.550	3.380	
3.340	3.416	3.321	3.541	3.380	
3.340	3.416	3.321	3.536	3.380	
3.340	3.416	3.321	3.289	3.380	
3.340	3.416	3.321	3.655	3.380	
3.340	3.416	3.321	3.348	3.380	
3.340	3.416	3.321	3.440	3.380	
3.340	3.416	3.321	3.731	3.380	
3.340	3.416	3.321	3.631	3.380	
3.340	3.416	3.321	3.581	3.380	
3.340	3.416	3.321	3.556	3.380	
3.340	3.416	3.321	3.544	3.380	
3.340	3.416	3.321	3.538	3.380	
3.340	3.416	3.321	3.290	3.380	
3.340	3.229	3.321	3.290	3.380	
3.340	3.380	3.321	3.290	3.380	
3.340	3.456	3.321	3.290	3.380	
3.340	3.739	3.321	3.290	3.380	
3.340	3.635	3.321	3.290	3.380	
3.340	3.583	3.321	3.290	3.380	
3.340	3.557	3.321	3.290	3.380	
3.340	3.545	3.321	3.290	3.380	
3.340	3.293	3.321	3.290	3.380	
3.340	3.657	3.321	3.290	3.380	
3.340	3.594	3.321	3.290	3.380	
3.340	3.563	3.321	3.290	3.380	
3.340	3.302	3.321	3.290	3.380	
3.340	3.662	3.321	3.290	3.380	
3.340	3.597	3.321	3.290	3.380	
3.340	3.564	3.321	3.290	3.380	
3.340	3.548	3.321	3.290	3.380	
3.340	3.540	3.321	3.290	3.380	
3.340	3.291	3.321	3.290	3.380	
3.340	3.656	3.321	3.290	3.380	
3.340	3.594	3.321	3.290	3.380	
3.340	3.563	3.321	3.290	3.380	
3.340	3.302	3.321	3.290	3.380	
3.340	3.417	3.321	3.290	3.380	
3.340	3.474	3.321	3.290	3.380	
3.340	3.258	3.321	3.290	3.380	
3.340	3.395	3.321	3.290	3.380	
3.340	3.708	3.321	3.290	3.380	
3.340	3.375	3.321	3.290	3.380	
3.340	3.375	3.321	3.290	3.211	
3.340	3.375	3.321	3.290	3.616	
3.340	3.375	3.321	3.290	3.329	
3.340	3.375	3.321	3.290	3.675	
3.340	3.375	3.321	3.290	3.603	
3.340	3.375	3.321	3.290	3.567	
3.340	3.375	3.321	3.290	3.550	
3.340	3.375	3.321	3.290	3.541	
3.340	3.375	3.321	3.290	3.536	
3.340	3.375	3.321	3.290	3.534	
3.340	3.375	3.321	3.290	3.533	
3.340	3.375	3.321	3.290	3.532	
3.340	3.375	3.321	3.290	3.532	
3.340	3.375	3.321	3.290	3.532	
3.340	3.375	3.321	3.290	3.287	
3.340	3.375	3.321	3.290	3.409	
3.340	3.375	3.321	3.290	3.225	
3.340	3.375	3.321	3.290	3.623	
3.340	3.375	3.321	3.290	3.577	
3.340	3.375	3.321	3.290	3.555	
3.340	3.375	3.321	3.290	3.543	
3.340	3.375	3.321	3.290	3.537	
3.340	3.375	3.321	3.290	3.534	
3.340	3.375	3.321	3.290	3.533	
3.340	3.375	3.321	3.290	3.532	
3.340	3.375	3.321	3.290	3.532	
3.340	3.375	3.321	3.290	3.532	
3.340	3.375	3.321	3.290	3.532	
3.340	3.375	3.321	3.290	3.532	
3.340	3.375	3.321	3.290	3.532	
3.340	3.375	3.321	3.290	3.532	
3.340	3.375	3.321	3.290	3.776	
3.340	3.375	3.321	3.290	3.654	
3.340	3.375	3.321	3.290	3.593	
3.340	3.375	3.321	3.290	3.562	
3.340	3.375	3.321	3.290	3.547	
3.340	3.375	3.321	3.290	3.539	
3.340	3.375	3.321	3.290	3.535	
3.340	3.375	3.321	3.290	3.534	
3.340	3.375	3.321	3.290	3.533	
3.340	3.375	3.321	3.290	3.532	
3.340	3.375	3.321	3.290	3.532	
3.340	3.375	3.321	3.290	3.287	
3.340	3.375	3.321	3.290	3.409	
3.340	3.375	3.321	3.290	3.226	
3.340	3.375	3.321	3.290	3.623	
3.340	3.375	3.321	3.290	3.577	
3.340	3.375	3.321	3.290	3.555	
3.340	3.375	3.321	3.290	3.298	
3.340	3.375	3.321	3.290	3.415	
3.340	3.375	3.321	3.290	3.718	
3.340	3.375	3.321	3.290	3.625	
3.340	3.375	3.321	3.290	3.578	
3.340	3.375	3.321	3.290	3.555	
3.340	3.375	3.321	3.290	3.543	
3.340	3.375	3.321	3.290	3.537	
3.340	3.375	3.321	3.290	3.535	
3.340	3.375	3.321	3.290	3.288	
3.340	3.375	3.321	3.290	3.410	
3.340	3.375	3.321	3.290	3.716	
3.340	3.375	3.321	3.290	3.624	
3.340	3.375	3.321	3.290	3.578	
3.340	3.375	3.321	3.290	3.555	
3.340	3.375	3.321	3.290	3.298	
3.340	3.375	3.321	3.290	3.415	
3.340	3.375	3.321	3.290	3.718	
3.340	3.375	3.321	3.290	3.625	
3.340	3.375	3.321	3.290	3.578	
3.340	3.375	3.321	3.290	3.555	
3.340	3.375	3.321	3.290	3.543	
3.340	3.375	3.321	3.290	3.537	
3.340	3.375	3.321	3.290	3.535	
3.340	3.375	3.321	3.290	3.533	
3.340	3.375	3.321	3.290	3.532	
3.340	3.375	3.321	3.290	3.532	
3.340	3.375	3.321	3.290	3.532	
3.340	3.375	3.321	3.290	3.532	
3.340	3.375	3.321	3.290	3.287	
3.340	3.375	3.321	3.290	3.409	
3.340	3.375	3.321	3.290	3.715	
3.340	3.375	3.321	3.290	3.623	
3.340	3.375	3.321	3.290	3.333	
3.340	3.375	3.321	3.290	3.432	
3.340	3.375	3.321	3.290	3.727	
3.340	3.375	3.321	3.290	3.629	
3.340	3.375	3.321	3.290	3.335	
3.340	3.375	3.321	3.290	3.678	
3.340	3.375	3.321	3.290	3.605	
3.340	3.375	3.321	3.290	3.323	
3.340	3.208	3.321	3.290	3.323	
3.340	3.370	3.321	3.290	3.323	
3.340	3.206	3.321	3.290	3.323	
3.340	3.369	3.321	3.290	3.323	
3.340	3.205	3.321	3.290	3.323	
3.340	3.368	3.321	3.290	3.323	
3.340	3.205	3.321	3.290	3.323	
3.340	3.368	3.321	3.290	3.323	
3.340	3.205	3.321	3.290	3.323	
3.340	3.368	3.321	3.290	3.323	
3.340	3.205	3.321	3.290	3.323	
3.340	3.368	3.321	3.290	3.323	
3.340	3.205	3.321	3.290	3.323	
3.340	3.368	3.321	3.290	3.323	
3.340	3.205	3.321	3.290	3.323	
3.340	3.368	3.321	3.290	3.323	
3.340	3.205	3.321	3.290	3.323	
3.340	3.368	3.321	3.290	3.323	
3.340	3.205	3.321	3.290	3.323	
3.340	3.368	3.321	3.290	3.323	
3.340	3.205	3.321	3.290	3.323	
3.340	3.368	3.321	3.290	3.323	
3.340	3.205	3.321	3.290	3.323	
