Server_02	Server_0	Server_00
3.78	4.00	3.77
3.20	3.56	3.77
3.20	3.56	3.65
3.20	3.56	3.35
3.20	3.56	3.44
3.20	3.56	3.48
3.20	3.56	3.75
3.20	3.56	3.64
3.20	3.56	3.59
3.20	3.56	3.56
3.20	3.30	3.56
3.20	3.42	3.56
3.17	3.51	3.56
3.17	3.51	3.30
3.17	3.28	3.30
3.17	3.40	3.30
3.17	3.22	3.30
3.17	3.38	3.30
3.17	3.45	3.30
3.17	3.25	3.30
3.17	3.39	3.30
3.17	3.22	3.30
3.16	3.51	3.17
3.16	3.51	3.35
3.16	3.51	3.44
3.16	3.51	3.49
3.16	3.51	3.51
3.16	3.28	3.51
3.16	3.40	3.51
3.16	3.71	3.51
3.16	4.11	3.51
3.16	3.58	3.51
2.78	3.31	3.51
2.78	3.18	3.51
2.78	3.18	3.28
2.78	3.18	3.16
2.78	3.18	3.10
2.78	3.18	3.07
2.78	3.18	3.06
2.78	3.18	3.29
2.78	3.18	3.17
2.78	3.18	3.10
3.33	3.19	3.43
3.33	3.19	3.48
3.33	3.19	3.26
3.19	3.19	3.26
3.19	3.19	3.15
3.19	3.19	3.34
3.19	3.19	3.19
3.19	3.19	3.12
3.19	3.19	3.08
3.19	3.19	3.31
3.30	3.27	3.35
3.30	3.27	3.44
3.30	3.27	3.24
3.17	3.27	3.24
3.35	3.27	3.24
3.20	3.27	3.24
3.36	3.27	3.24
3.20	3.27	3.24
3.37	3.27	3.24
3.69	3.31	3.53
3.37	3.31	3.53
3.37	3.31	3.29
3.20	3.31	3.29
3.20	3.18	3.29
3.20	3.35	3.29
3.20	3.44	3.29
3.20	3.49	3.29
3.20	3.26	3.29
3.20	3.40	3.29
3.20	3.22	3.29
3.37	3.43	3.53
3.37	3.43	3.29
3.37	3.43	3.41
3.37	3.23	3.41
3.37	3.23	3.23
3.37	3.23	3.38
3.37	3.23	3.21
3.21	3.23	3.21
3.37	3.23	3.21
3.24	3.18	3.53
3.39	3.18	3.53
3.39	3.18	3.29
3.21	3.18	3.29
3.37	3.18	3.29
3.21	3.18	3.29
3.37	3.18	3.29
3.21	3.18	3.29
3.37	3.18	3.29
3.21	3.18	3.29
3.16	3.17	3.25
3.16	3.17	3.39
3.16	3.17	3.22
3.16	3.17	3.13
3.16	3.17	3.09
3.16	3.17	3.31
3.16	3.17	3.18
3.16	3.17	3.35
3.16	3.17	3.20
3.16	3.17	3.12
3.16	3.17	3.33
3.22	3.13	3.19
3.22	3.13	3.11
3.22	3.13	3.32
3.22	3.13	3.18
3.22	3.13	3.60
3.22	3.13	3.81
3.22	3.13	3.67
3.22	3.13	3.85
3.22	3.13	3.93
3.22	3.13	3.98
4.16	3.31	3.73
4.16	3.31	4.12
4.16	3.31	4.07
4.16	3.31	4.05
4.16	3.31	4.03
4.16	3.31	4.27
4.16	3.31	4.15
4.16	3.31	4.08
