Server_05	Server_0	Server_01
3.78	4.00	3.74
3.78	3.77	3.74
3.65	3.77	3.74
3.65	3.65	3.74
3.65	3.65	3.64
3.65	3.65	3.58
3.65	3.65	3.56
3.65	3.65	3.54
3.65	3.65	3.54
3.65	3.65	3.53
3.65	3.65	3.53
3.65	3.65	3.53
3.65	3.65	3.53
3.65	3.65	3.53
3.65	3.65	3.53
3.65	3.65	3.53
3.65	3.65	3.53
3.65	3.65	3.53
3.65	3.65	3.53
3.65	3.65	3.53
3.65	3.65	3.53
3.65	3.65	3.53
3.65	3.65	3.53
3.65	3.65	3.53
3.65	3.65	3.53
3.65	3.65	3.53
3.65	3.65	3.53
3.35	3.65	3.53
3.35	3.35	3.53
3.35	3.35	3.29
3.35	3.35	3.41
3.35	3.35	3.23
3.19	3.35	3.23
3.61	3.35	3.23
3.32	3.35	3.23
3.67	3.35	3.23
3.60	3.35	3.23
3.32	3.35	3.23
3.43	3.35	3.23
3.72	3.35	3.23
3.63	3.35	3.23
3.82	3.35	3.23
4.17	3.35	3.23
4.09	3.35	3.23
4.06	3.35	3.23
4.28	3.35	3.23
4.15	3.35	3.23
4.33	3.35	3.23
4.18	3.35	3.23
4.10	3.35	3.23
4.30	3.35	3.23
4.41	3.35	3.23
4.21	3.35	3.23
4.36	3.35	3.23
4.44	3.35	3.23
4.47	3.35	3.23
4.49	3.35	3.23
4.50	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
4.51	3.35	3.23
