Server_02	Server_0	Server_07
3.78	4.00	3.92
4.39	4.00	3.92
4.45	4.00	3.92
3.26	4.00	3.92
3.64	4.00	3.92
3.83	4.00	3.92
3.93	4.00	3.92
3.97	4.00	3.92
4.00	4.00	3.92
3.30	4.00	3.92
2.11	4.00	3.92
2.11	3.03	3.92
2.11	3.03	3.48
2.11	3.03	3.75
2.11	3.03	3.89
2.11	3.03	3.95
2.11	3.03	3.99
2.11	3.03	4.00
2.11	3.03	4.01
2.11	3.03	4.02
2.11	3.03	4.02
2.11	3.03	4.02
2.11	3.03	4.02
2.11	3.03	4.02
2.11	3.03	4.02
2.11	3.03	4.02
2.11	3.03	4.02
2.11	3.03	4.02
2.11	3.03	4.02
2.11	3.03	4.02
2.11	3.03	4.02
2.11	3.03	4.02
2.11	3.03	3.78
2.11	3.03	3.65
2.11	3.03	3.59
2.11	3.03	3.56
2.11	3.03	3.55
2.11	3.03	3.54
2.11	3.03	3.54
2.11	3.03	3.78
2.11	3.03	3.65
2.11	3.03	3.84
2.11	3.03	3.93
2.11	3.03	3.73
2.11	3.03	3.88
2.11	3.03	3.70
2.11	3.03	3.86
2.11	3.03	3.70
2.11	3.03	3.86
2.11	3.03	3.70
2.11	3.03	3.86
2.11	3.03	3.69
2.11	3.03	3.86
2.11	3.03	3.69
2.11	3.03	3.86
2.11	3.03	3.69
2.11	3.03	3.61
2.11	3.03	3.82
2.11	3.03	3.67
2.11	3.03	3.85
2.11	3.03	3.69
2.11	3.03	3.86
2.11	3.03	3.69
2.11	3.03	3.86
2.11	3.03	3.94
2.11	3.03	3.74
2.11	3.03	3.63
2.11	3.03	3.83
2.11	3.03	3.68
2.11	3.03	3.85
2.11	3.03	3.69
2.11	3.03	3.86
2.11	3.03	3.69
2.11	3.03	3.86
2.11	3.03	3.69
2.11	3.03	3.61
2.11	3.03	3.82
2.11	3.03	3.92
2.11	3.03	3.73
2.11	3.03	3.87
2.11	3.03	3.70
2.11	3.03	3.86
2.11	3.03	3.70
2.11	3.03	3.86
2.11	3.03	3.70
2.11	3.03	3.86
2.11	3.03	3.94
2.11	3.03	3.74
2.11	3.03	3.88
2.11	3.03	3.71
2.11	3.03	3.86
2.11	3.03	3.70
2.11	3.03	3.86
2.11	3.03	3.70
2.11	3.03	3.86
2.11	3.03	3.69
2.11	3.03	3.86
2.11	3.03	3.69
2.11	3.03	3.86
2.11	3.03	3.69
2.11	3.03	3.86
2.11	3.03	3.69
2.11	3.03	3.86
2.11	3.03	3.94
2.11	3.03	3.98
2.11	3.03	3.76
2.11	3.03	3.89
2.11	3.03	3.95
2.11	3.03	3.99
2.11	3.03	4.00
2.11	3.03	4.01
2.11	3.03	4.02
2.11	3.03	3.77
2.11	3.03	3.90
2.11	3.03	4.20
2.11	3.03	4.36
2.11	3.03	4.19
2.11	3.03	4.11
2.11	3.03	4.06
2.11	3.03	4.04
